FECHA;FUENTE;VALOR (KPCD)
16/12/2024;Arianna;0
16/12/2024;Ballena;33,829.02
16/12/2024;Bremen Jobo;0
16/12/2024;Bullerengue;15,451.33
16/12/2024;Hocol;33,779.13
16/12/2024;Jobo;129,458
16/12/2024;La Creciente;0
16/12/2024;Merecumbé;0
16/12/2024;Sinu-9;6,187.44
16/12/2024;Planta LNG;419,684
16/12/2024;TGI Promigas;0
16/12/2024;Tucurinca;1,920.67
16/12/2024;Total;640,309.59
17/12/2024;Tucurinca;0
17/12/2024;TGI Promigas;0
17/12/2024;Planta LNG;369,939
17/12/2024;Sinu-9;0
17/12/2024;Merecumbé;0
17/12/2024;La Creciente;0
17/12/2024;Jobo;131,441.75
17/12/2024;Hocol;33,073.73
17/12/2024;Bullerengue;15,679.60
17/12/2024;Bremen Jobo;0
17/12/2024;Ballena;33,449.38
17/12/2024;Arianna;0
17/12/2024;Total;583,583.46
18/12/2024;Arianna;0
18/12/2024;Ballena;32,990.04
18/12/2024;Bremen Jobo;0
18/12/2024;Bullerengue;15,354.10
18/12/2024;Hocol;34,186.45
18/12/2024;Jobo;127,671.98
18/12/2024;La Creciente;0
18/12/2024;Merecumbé;0
18/12/2024;Sinu-9;6.57
18/12/2024;Planta LNG;402,439
18/12/2024;TGI Promigas;0
18/12/2024;Tucurinca;1.95
18/12/2024;Total;612,650.10
19/12/2024;Tucurinca;5,932.82
19/12/2024;TGI Promigas;0
19/12/2024;Planta LNG;360,622
19/12/2024;Sinu-9;0
19/12/2024;Merecumbé;0
19/12/2024;La Creciente;0
19/12/2024;Jobo;139,208.25
19/12/2024;Hocol;34,226.48
19/12/2024;Bullerengue;16,284.52
19/12/2024;Bremen Jobo;0
19/12/2024;Ballena;32,873.47
19/12/2024;Arianna;0
19/12/2024;Total;589,147.54
20/12/2024;Arianna;0
20/12/2024;Ballena;33,320.91
20/12/2024;Bremen Jobo;0
20/12/2024;Bullerengue;16,463.48
20/12/2024;Hocol;34,395.14
20/12/2024;Jobo;118,631.19
20/12/2024;La Creciente;0
20/12/2024;Merecumbé;0
20/12/2024;Sinu-9;72.4
20/12/2024;Planta LNG;400,865
20/12/2024;TGI Promigas;0
20/12/2024;Tucurinca;5,770.86
20/12/2024;Total;609,518.98
21/12/2024;Tucurinca;0
21/12/2024;TGI Promigas;0
21/12/2024;Planta LNG;416,136
21/12/2024;Sinu-9;0
21/12/2024;Merecumbé;0
21/12/2024;La Creciente;0
21/12/2024;Jobo;114,359.86
21/12/2024;Hocol;34,325.23
21/12/2024;Bullerengue;16,491.68
21/12/2024;Bremen Jobo;0
21/12/2024;Ballena;43,591.43
21/12/2024;Arianna;0
21/12/2024;Total;624,904.19
22/12/2024;Arianna;0
22/12/2024;Ballena;37,791.66
22/12/2024;Bremen Jobo;0
22/12/2024;Bullerengue;16,526.17
22/12/2024;Hocol;34,851.48
22/12/2024;Jobo;120,665.08
22/12/2024;La Creciente;0
22/12/2024;Merecumbé;0
22/12/2024;Sinu-9;0
22/12/2024;Planta LNG;379,535
22/12/2024;TGI Promigas;0
22/12/2024;Tucurinca;9,182.46
22/12/2024;Total;598,551.84
23/12/2024;Tucurinca;6,707.92
23/12/2024;TGI Promigas;0
23/12/2024;Planta LNG;328,352
23/12/2024;Sinu-9;0
23/12/2024;Merecumbé;0
23/12/2024;La Creciente;0
23/12/2024;Jobo;121,515.34
23/12/2024;Hocol;34,735.21
23/12/2024;Bullerengue;17,057.81
23/12/2024;Bremen Jobo;0
23/12/2024;Ballena;35,521.16
23/12/2024;Arianna;0
23/12/2024;Total;543,889.45
24/12/2024;Arianna;0
24/12/2024;Ballena;35,324.19
24/12/2024;Bremen Jobo;0
24/12/2024;Bullerengue;16,401.06
24/12/2024;Hocol;34,669.03
24/12/2024;Jobo;146,438.44
24/12/2024;La Creciente;0
24/12/2024;Merecumbé;0
24/12/2024;Sinu-9;0
24/12/2024;Planta LNG;254,318
24/12/2024;TGI Promigas;0
24/12/2024;Tucurinca;199.27
24/12/2024;Total;487,349.99
25/12/2024;Tucurinca;0
25/12/2024;TGI Promigas;0
25/12/2024;Planta LNG;141,456
25/12/2024;Sinu-9;0
25/12/2024;Merecumbé;0
25/12/2024;La Creciente;0
25/12/2024;Jobo;131,212.19
25/12/2024;Hocol;34,557.79
25/12/2024;Bullerengue;16,528.28
25/12/2024;Bremen Jobo;0
25/12/2024;Ballena;43,493.94
25/12/2024;Arianna;0
25/12/2024;Total;367,248.19
26/12/2024;Arianna;0
26/12/2024;Ballena;47,270.18
26/12/2024;Bremen Jobo;0
26/12/2024;Bullerengue;16,574.71
26/12/2024;Hocol;34,215.55
26/12/2024;Jobo;117,285.03
26/12/2024;La Creciente;0
26/12/2024;Merecumbé;0
26/12/2024;Planta LNG;207,591
26/12/2024;TGI Promigas;0
26/12/2024;Tucurinca;0
26/12/2024;Arrecife;31.26
26/12/2024;Total;422,967.73
27/12/2024;Arrecife;2,264
27/12/2024;Tucurinca;0
27/12/2024;TGI Promigas;0
27/12/2024;Planta LNG;131,346
27/12/2024;Sinu-9;0
27/12/2024;Merecumbé;0
27/12/2024;La Creciente;0
27/12/2024;Jobo;119,265.81
27/12/2024;Hocol;34,690.28
27/12/2024;Bullerengue;16,575.69
27/12/2024;Bremen Jobo;0
27/12/2024;Ballena;46,086.11
27/12/2024;Arianna;0
27/12/2024;Total;350,227.89
28/12/2024;Arrecife;2,104
28/12/2024;Arianna;0
28/12/2024;Ballena;64,933.66
28/12/2024;Bremen Jobo;0
28/12/2024;Bullerengue;16,587.84
28/12/2024;Hocol;34,576.03
28/12/2024;Jobo;114,315.41
28/12/2024;La Creciente;0
28/12/2024;Merecumbé;0
28/12/2024;Sinu-9;0
28/12/2024;Planta LNG;106,472
28/12/2024;TGI Promigas;0
28/12/2024;Tucurinca;0
28/12/2024;Total;338,988.93
29/12/2024;Tucurinca;0
29/12/2024;TGI Promigas;0
29/12/2024;Planta LNG;61,455
29/12/2024;Sinu-9;0
29/12/2024;Merecumbé;0
29/12/2024;La Creciente;0
29/12/2024;Jobo;122,960.66
29/12/2024;Hocol;34,386.65
29/12/2024;Bullerengue;16,534.05
29/12/2024;Bremen Jobo;0
29/12/2024;Ballena;68,290.19
29/12/2024;Arianna;0
29/12/2024;Arrecife;3,505
29/12/2024;Total;307,131.54
30/12/2024;Arrecife;2,687
30/12/2024;Arianna;0
30/12/2024;Ballena;69,979.05
30/12/2024;Bremen Jobo;0
30/12/2024;Bullerengue;16,502.32
30/12/2024;Hocol;33,750.88
30/12/2024;Jobo;111,378.16
30/12/2024;La Creciente;0
30/12/2024;Merecumbé;0
30/12/2024;Sinu-9;0
30/12/2024;Planta LNG;67,529
30/12/2024;TGI Promigas;0
30/12/2024;Tucurinca;0
30/12/2024;Total;301,826.40
31/12/2024;Arrecife;2,466
31/12/2024;Tucurinca;0
31/12/2024;TGI Promigas;0
31/12/2024;Planta LNG;42,693
31/12/2024;Sinu-9;0
31/12/2024;Merecumbé;0
31/12/2024;La Creciente;0
31/12/2024;Jobo;128,839.72
31/12/2024;Hocol;32,557.10
31/12/2024;Bullerengue;16,407.73
31/12/2024;Bremen Jobo;0
31/12/2024;Ballena;63,753.21
31/12/2024;Arianna;0
31/12/2024;Total;286,716.76
1/01/2025;Arrecife;2,604
1/01/2025;Arianna;0
1/01/2025;Ballena;65,604.22
1/01/2025;Bremen Jobo;0
1/01/2025;Bullerengue;16,369.51
1/01/2025;Hocol;34,305.31
1/01/2025;Jobo;123,105.06
1/01/2025;La Creciente;0
1/01/2025;Merecumbé;0
1/01/2025;Sinu-9;0
1/01/2025;Planta LNG;40,388
1/01/2025;TGI Promigas;0
1/01/2025;Tucurinca;0
1/01/2025;Total;282,376.10
2/01/2025;Arrecife;1,587.98
2/01/2025;Tucurinca;23.77
2/01/2025;TGI Promigas;0
2/01/2025;Planta LNG;65,912
2/01/2025;Sinu-9;0
2/01/2025;Merecumbé;0
2/01/2025;La Creciente;0
2/01/2025;Jobo;101,502.70
2/01/2025;Hocol;34,240.35
2/01/2025;Bullerengue;16,076.52
2/01/2025;Bremen Jobo;0
2/01/2025;Ballena;63,530.05
2/01/2025;Arianna;0
2/01/2025;Total;282,873.38
3/01/2025;Arianna;0
3/01/2025;Ballena;53,004.34
3/01/2025;Bremen Jobo;0
3/01/2025;Bullerengue;16,915.60
3/01/2025;Hocol;34,139.47
3/01/2025;Jobo;88,950.78
3/01/2025;La Creciente;0
3/01/2025;Merecumbé;0
3/01/2025;Sinu-9;0
3/01/2025;Planta LNG;77,182
3/01/2025;TGI Promigas;0
3/01/2025;Tucurinca;0
3/01/2025;Arrecife;1,128.67
3/01/2025;Total;271,320.85
4/01/2025;Tucurinca;0
4/01/2025;TGI Promigas;0
4/01/2025;Planta LNG;94,876
4/01/2025;Sinu-9;0
4/01/2025;Merecumbé;0
4/01/2025;La Creciente;0
4/01/2025;Jobo;97,528.23
4/01/2025;Hocol;34,080.56
4/01/2025;Bullerengue;16,419.23
4/01/2025;Bremen Jobo;0
4/01/2025;Ballena;64,223.50
4/01/2025;Arianna;0
4/01/2025;Arrecife;906.53
4/01/2025;Total;308,034.06
5/01/2025;Arrecife;2,740.18
5/01/2025;Arianna;0
5/01/2025;Ballena;58,706.51
5/01/2025;Bremen Jobo;0
5/01/2025;Bullerengue;16,376.79
5/01/2025;Hocol;33,928.42
5/01/2025;Jobo;117,916.28
5/01/2025;La Creciente;0
5/01/2025;Merecumbé;0
5/01/2025;Sinu-9;0
5/01/2025;Planta LNG;65,921
5/01/2025;TGI Promigas;0
5/01/2025;Tucurinca;1,066.37
5/01/2025;Total;296,655.55
6/01/2025;Arrecife;1,916.60
6/01/2025;Tucurinca;0
6/01/2025;TGI Promigas;0
6/01/2025;Planta LNG;59,843
6/01/2025;Sinu-9;0
6/01/2025;Merecumbé;0
6/01/2025;La Creciente;0
6/01/2025;Jobo;108,655.36
6/01/2025;Hocol;34,058.86
6/01/2025;Bullerengue;16,554.67
6/01/2025;Bremen Jobo;0
6/01/2025;Ballena;51,429.24
6/01/2025;Arianna;0
6/01/2025;Total;272,457.74
7/01/2025;Arianna;0
7/01/2025;Ballena;43,694.09
7/01/2025;Bremen Jobo;0
7/01/2025;Bullerengue;16,241.83
7/01/2025;Hocol;34,343.47
7/01/2025;Jobo;112,533.22
7/01/2025;La Creciente;0
7/01/2025;Merecumbé;0
7/01/2025;Sinu-9;0
7/01/2025;Planta LNG;88,086
7/01/2025;TGI Promigas;0
7/01/2025;Tucurinca;0
7/01/2025;Total;294,898.60
8/01/2025;Tucurinca;0
8/01/2025;TGI Promigas;0
8/01/2025;Planta LNG;0
8/01/2025;Merecumbé;0
8/01/2025;La Creciente;0
8/01/2025;Jobo;37,980.20
8/01/2025;Hocol;11,420.18
8/01/2025;Bullerengue;5,454.92
8/01/2025;Bremen Jobo;0
8/01/2025;Ballena;13,467.31
8/01/2025;Arianna;0
8/01/2025;Total;68,322.61
